District,close,far,population,inaccuracy
Kaele,194287.97625231743,0,194287.97625231743,0
Tchollire,128005.08381769806,107843.95780975651,235849.04162745457,0
Meiganga,104042.20417232253,38067.7192118112,141958.11586603522,-151.80751809850335
Lomie,37845.35664597154,25285.92320523504,63131.27985120658,0
Nwa,87403.05112610757,0,87403.05112610757,0
Bandjoun,43152.87337350845,0,43152.87337350845,0
Okola,53743.1791947186,0,53743.1791947186,0
Ebolowa,166418.81177991442,120.3821337968111,166539.19391371123,0
Nguti,77901.53850759938,3572.9751043841243,81474.51361198351,0
Edea,239182.96946677007,2544.8567509856075,241727.82621775568,0
Melong,67922.54980647843,0,67922.54980647843,0
Nkondjock,14678.473404916003,462.5151036325842,15140.988508548588,0
Ndom,16611.530195765197,0,16611.530195765197,0
Ngambe,11948.562985663302,244.36695599276572,12192.929941656068,0
Pouma,13031.632541079074,78.9448211491108,13110.577362228185,0
Manjo,34513.29592883587,0,34513.29592883587,0
Nkongsamba,34335.16015740298,0,34335.16015740298,0
Loum,23961.493836840615,0,23961.493836840615,0
Njombe Penja,17935.056909292936,0,17935.056909292936,0
Yabassi,44069.66742262989,3647.5216821497306,47630.51250721235,-86.67659756727517
Abo,51690.19211529195,536.1406343849376,52226.33274967689,0
Mbanga,106567.55552569032,0,106567.55552569032,0
Dibombari,301988.72908723354,0,301988.72908723354,0
Bangue,550626.9051447883,0,550626.9051447883,0
Deido,271696.8613090515,0,271696.8613090515,0
Manoka,417503.4580495134,150.4772548675537,417503.4580495134,-150.4772548675537
Bonassama,555100.6557064056,0,555100.6557064056,0
Japoma,318559.38574790955,0,318559.38574790955,0
Cite des Palmiers,353883.8910857439,0,353883.8910857439,0
Boko,196107.6833539009,0,196107.6833539009,0
Nylon,124637.44194412231,0,124637.44194412231,0
New Bell,94445.6715297699,0,94445.6715297699,0
Logbaba,144522.58381652832,0,144522.58381652832,0
Yoko,49247.34084785078,54025.337033127435,103272.67788097821,0
Nanga Eboko,68900.84862631,7848.80299208127,76507.16627090983,-242.48534748144448
Ayos,48276.36693872698,1113.5919674225152,49389.95890614949,0
Mbandjock,36107.85278038215,2978.877870552242,39086.73065093439,0
Ntui,72349.97440989688,9374.04360493645,81724.01801483333,0
Akonolinga,66630.76360924356,2294.829827349633,68925.59343659319,0
Ndikinimeki,44995.13719740976,4388.137566162273,49383.27476357203,0
Bafia,165603.9880850967,769.7407707050443,166373.72885580175,0
Eseka,96232.87541403249,3824.035864494741,100056.91127852723,0
Mbalmayo,125859.51487294585,5.965509921312332,125865.48038286716,0
Saa,37380.081187680364,0,37380.081187680364,0
Ebebda,24629.13970734179,0,24629.13970734179,0
Ngog Mapubi,59120.165256191045,0,59120.165256191045,0
Ngoumou,46930.235476881266,0,46930.235476881266,0
Esse,44424.62279775925,4.935229353606701,44429.55802711286,0
Awae,16997.67755470425,0,16997.67755470425,0
Mfou,566638.7765773274,126.86920442432165,566765.6457817517,0
Obala,54558.854226112366,0,54558.854226112366,0
Soa,51474.62000898272,0,51474.62000898272,0
Monatele,34600.58769200742,0,34600.58769200742,0
Evodoula,5506.935026034713,0,5506.935026034713,0
Elig-Mfomo,6319.680632710457,0,6319.680632710457,0
Mbankomo,302219.3820194453,0,302219.3820194453,0
Djoungolo,324469.6534731388,0,324469.6534731388,0
Nkolndongo,1290904.9148702621,0,1290904.9148702621,0
Efoulan,702829.7741281092,0,702829.7741281092,0
Nkolbisson,233393.2522805333,0,233393.2522805333,0
Biyem-assi,448525.38261413574,0,448525.38261413574,0
Cite Verte,148076.5145866871,0,148076.5145866871,0
Mada,63805.44937951863,11932.04661360383,75737.49599312246,0
Makary,152451.54642394185,2136.9817476570606,154588.5281715989,0
Goulfey,139747.01292534173,4098.142145127058,143845.15507046878,0
Kousseri,173014.66564752162,39819.51915409416,212834.18480161577,0
Kolofata,187893.82528561354,2946.872323989868,190840.6976096034,0
Mora,192176.5682984516,90069.05196213722,282245.6202605888,0
Mokolo,302262.8692019284,0,302262.8692019284,0
Maga,198969.28313599527,10426.498878084123,209395.7820140794,0
Tokombere,117864.17320254445,0,117864.17320254445,0
Meri,103520.53482821584,0,103520.53482821584,0
Koza,93006.23999139667,0,93006.23999139667,0
Roua,39316.56462344527,0,39316.56462344527,0
Pette,50096.92245967686,356.55990904569626,50453.48236872256,0
Maroua 2,73501.2074342668,50.851135313510895,73501.2074342668,-50.851135313510895
Bogo,191203.4621436298,0,191203.4621436298,0
Yagoua,189280.05054739118,0,189280.05054739118,0
Guere,97035.4366056025,0,97035.4366056025,0
Vele,94165.86430564523,1022.894817262888,95188.75912290812,0
Moulvoudaye,113524.91471938789,1808.0926741212606,115333.00739350915,0
Kar hay,82186.02925822139,0,82186.02925822139,0
Guidiguis,92950.18163216114,0,92950.18163216114,0
Maroua 3,188752.5383157134,0,188752.5383157134,0
Mindif,138457.03752820194,74.07575598359108,138531.11328418553,0
Maroua 1,157045.65155154467,0,157045.65155154467,0
Mogode,126278.95473095775,0,126278.95473095775,0
Hina,272219.24275296926,0,272219.24275296926,0
Bourha,266579.2731217146,32.32461267709732,266611.5977343917,0
Gazawa,122672.91298282146,0,122672.91298282146,0
Moutourwa,94636.39435812831,0,94636.39435812831,0
Tignere,95505.55527280271,31659.52456739731,127165.07984020002,0
Tibati,98962.49058721587,62254.039426610805,151623.58217752073,-9592.947836305946
Banyo,109473.52627322823,59531.430795852095,169004.95706908032,0
Bankim,131128.06651887298,7489.4114456400275,138617.477964513,0
Ngaoundere Rural,310765.70716996863,112983.13115144614,419401.6524469564,-4347.185874458402
Ngaoundere Urban,71543.59088755399,4231.171431697905,75774.7623192519,0
Ngaoundal,65079.30986013636,15159.70301339589,80239.01287353225,0
Djohong,49917.24454598874,17011.435515949503,66928.68006193824,0
Gaschiga,303196.15116375685,11474.236617073417,314670.38778083026,0
Mayo Oulo,164933.88971477747,17.258963525295258,164951.14867830276,0
Guider,264113.92190523446,0,264113.92190523446,0
Figuil,111167.04680415988,0,111167.04680415988,0
Pitoa,227909.15135142207,0,227909.15135142207,0
Golombe,113449.50795866549,0,113449.50795866549,0
Bibemi,212029.6818626821,5101.037074819207,217130.7189375013,0
Garoua I,113981.72377948463,87.85654699802399,114069.58032648265,0
Garoua II,83717.92126655579,0,83717.92126655579,0
Ngong,286921.8024428319,7116.544361926615,294038.34680475853,0
Lagdo,233984.42980642058,6662.713367164135,240647.14317358471,0
Rey Bouba,127620.10559504479,53676.800363812596,181296.9059588574,0
Poli,72114.09911725763,24359.65645517502,96473.75557243265,0
Touboro,151723.18494687788,96593.79166897014,248316.97661584802,0
Ako,28523.836732663214,5847.835373751819,34371.67210641503,0
Batibo,74531.82465683669,0,74531.82465683669,0
Bali,51075.12342244387,0,51075.12342244387,0
Santa,176788.713113755,0,176788.713113755,0
Nkambe,155948.95087843016,7409.687739435583,163358.63861786574,0
Benakuma,74393.33577099442,8226.64574392885,82619.98151492327,0
Wum,113127.92153567821,6728.5818949863315,119856.50343066454,0
Njikwa,14860.937496826053,0,14860.937496826053,0
Mbengwi,82224.88082939386,0,82224.88082939386,0
Bafut,107755.32272137702,0,107755.32272137702,0
Bamenda,227365.9795050621,0,227365.9795050621,0
Tubah,134454.2651347518,0,134454.2651347518,0
Ndop,246674.31269609928,0,246674.31269609928,0
Fundong,112391.29094305634,0,112391.29094305634,0
Oku,84666.69452108443,0,84666.69452108443,0
Kumbo West,113921.77999538183,0,113921.77999538183,0
Kumbo East,240921.89398741722,0,240921.89398741722,0
Ndu,97514.30422076583,0,97514.30422076583,0
